,year,BCpc_Canada,BCtot_Canada,EFCpc_Canada,EFCtot_Canada,earth_Canada,BCpc_World,BCtot_World,EFCpc_World,EFCtot_World,earth_World,od_world,od_can_pc,odate_world,odate_can
16,1977,21.2920178056462,505506561.617335,9.92821190173767,235711631.808087,4.11307107801948,2.41381967717375,10208526178.7032,2.8050484440378725,11863115087.097637,1.1620787047863481,314.95273829628485,88.98460373221552,1900-11-11 22:51:56.588799,1900-03-30 23:37:49.762463
17,1978,21.0226248719871,504839407.726422,10.0541607180136,241441616.971045,4.176219248966026,2.4074791380991,10362705052.451,2.8327629288049034,12193279597.200464,1.1766510803668269,311.05249567703413,87.63907692121684,1900-11-08 01:15:35.626496,1900-03-29 15:20:16.245993
18,1979,20.6258399326662,500754141.885269,10.140021308349,246179437.324096,4.299489397334465,2.35842454097816,10331290959.9635,2.8536417825343254,12500623241.584911,1.20997798867492,302.48511760340267,85.12638738611784,1900-10-30 11:38:34.160934,1900-03-27 03:01:59.870161
19,1980,20.3891820009784,500297522.395332,9.64216043305295,236593551.176462,4.160252455879094,2.31768637488022,10333196110.6297,2.7536122846940043,12276736676.621023,1.1880866689032996,308.0582304654751,87.97543030899102,1900-11-05 01:23:51.112217,1900-03-29 23:24:37.178697
20,1981,20.5793536138356,510184805.337149,9.26647877517887,229726198.343619,4.030993414399695,2.29880771873175,10431644606.4469,2.6711514724539676,12121274024.669348,1.1619725524184508,314.9819002680054,90.79647679218688,1900-11-11 23:33:56.183156,1900-04-01 19:06:55.594845
21,1982,20.5522994783854,514648084.036542,8.6729498272705,217178472.717569,3.8002334623824194,2.28221500418906,10541049017.0484,2.6162619596010455,12083927948.718279,1.1463696254729876,319.26902879695905,96.3098724388763,1900-11-16 06:27:24.088057,1900-04-07 07:26:12.978719
22,1983,20.0113848537328,506224016.001801,8.30513630342083,210093378.528764,3.7253174605489408,2.22937679576898,10481481886.6117,2.563092796662498,12050460239.38543,1.149690263901042,318.3465439736208,98.24666055334473,1900-11-15 08:19:01.399321,1900-04-09 05:55:11.471809
23,1984,19.6250997282637,501847147.389131,8.5107122505382,217633373.808094,3.818746948124487,2.22866620023568,10667466194.1041,2.6242101749869966,12560740015.21246,1.177480133502939,310.83301002278256,95.84295711967894,1900-11-07 19:59:32.065968,1900-04-06 20:13:51.495140
24,1985,19.6509404821074,508446476.616147,9.09860206467939,235416323.51545,4.139766267348046,2.1978540519168,10711857121.1511,2.612836291516561,12734394486.540167,1.1888124642479536,307.8701315940215,88.4107885236867,1900-11-04 20:52:59.369723,1900-03-30 09:51:32.128447
25,1986,20.2362909030523,530354727.711484,9.58891695714297,251307290.758828,4.424311576921226,2.16732406622584,10757794754.8406,2.614716771618986,12978494453.261463,1.2064263080750226,303.3751637719591,82.72473437657182,1900-10-31 09:00:14.149897,1900-03-24 17:23:37.050136
26,1987,19.7487399143764,524720085.205702,9.19484044664449,244305078.882724,4.313640801153686,2.13157304247153,10776465936.4408,2.634138500410102,13317245431.659327,1.2357721025388153,296.1713481198407,84.84712030313536,1900-10-24 04:06:44.477554,1900-03-26 20:19:51.194191
27,1988,18.7185655457923,504424175.238781,8.90307693302096,239918343.531191,4.280032425018384,2.08014240288909,10709737969.8186,2.642900165180282,13607122145.740097,1.2705380946562037,288.0670912607884,85.51337084751827,1900-10-16 01:36:36.684932,1900-03-27 12:19:15.241226
28,1989,18.9135547095026,516835563.926595,9.92266965745846,271148847.841556,4.784461136891554,2.07393672423164,10868963148.1497,2.6657102691190104,13970281107.231417,1.2853382834553995,284.7502123750139,76.49764300056343,1900-10-12 18:00:18.349201,1900-03-18 11:56:36.355249
29,1990,18.9952327278693,526029266.523042,8.94157920736803,247616463.530272,4.322687482386403,2.06852316846919,11027172899.7191,2.6618752685755007,14190306660.82332,1.2868481770718676,284.4156492008486,84.66954909216437,1900-10-12 09:58:32.090953,1900-03-26 16:04:09.041563
30,1991,18.724793871812,525129346.903046,8.17337853128725,229219128.365812,4.047259449185082,2.01948469919144,10943102908.5906,2.6091720489199526,14138474522.633432,1.2919989193107584,283.28202297443863,90.43156352966061,1900-10-11 06:46:06.784991,1900-04-01 10:21:27.088963
31,1992,18.4743324580778,524381009.222889,8.12150485961752,230523236.731767,4.018884212281667,2.02083574211924,11123488258.9212,2.588067467265439,14245761154.88335,1.2806916531233488,285.7830240520058,91.07005344456253,1900-10-13 18:47:33.278093,1900-04-02 01:40:52.617610
32,1993,18.5008216360407,531182654.692622,8.29158270203013,238062124.910597,4.1846655467796205,1.98142064385792,11072376699.9425,2.541755150658053,14203569248.616512,1.2827943216081241,285.31489523829964,87.46218686022864,1900-10-13 07:33:26.948589,1900-03-29 11:05:32.944724
33,1994,18.4059937628353,534256041.779128,8.00203134432563,232268555.955078,4.067437263049232,1.96733983263131,11155446399.766,2.5406917564662774,14406534010.179985,1.2914351218457827,283.40566713890314,89.98294904876323,1900-10-11 09:44:09.640801,1900-03-31 23:35:26.797813
34,1995,18.1902857275351,533522892.311596,8.30902276005014,243704465.208835,4.304186443680918,1.93045140324923,11102933332.2458,2.5474180544632445,14651409981.08496,1.3195970901808614,277.3571693678755,85.03349118097186,1900-10-05 08:34:19.433384,1900-03-27 00:48:13.638036
35,1996,18.2497298395152,540595315.150302,8.68955862297446,257402971.091253,4.49040619406083,1.93513865949757,11284877201.1797,2.5744473398957575,15013057001.679203,1.330368409137242,275.1115282630181,81.50710296188451,1900-10-03 02:40:36.041925,1900-03-23 12:10:13.695907
36,1997,17.7994589122736,532260765.839672,8.56209656901813,256034079.433525,4.468039092946434,1.91629849043507,11326416368.6108,2.579170860335577,15244360884.875639,1.3459129009437412,271.93454827118325,81.91512929638279,1900-09-29 22:25:44.970630,1900-03-23 21:57:47.171207
37,1998,17.8896162071381,539874619.872502,8.49259420021086,256290353.715964,4.460926203152901,1.90377374864629,11401415414.5804,2.5574455853944267,15316147764.307072,1.3433558411092394,272.4521926760881,82.04574192267917,1900-09-30 10:51:09.447214,1900-03-24 01:05:52.102119
38,1999,17.9150428469517,545582930.354845,9.0114604362713,274434118.500264,4.779658997258033,1.8853772709394,11438338803.7441,2.5350318480017697,15379702330.106876,1.3445753733621046,272.2050084139209,76.5745004423882,1900-09-30 04:55:12.726963,1900-03-18 13:47:16.838222
39,2000,17.6271868760803,541785704.15707,9.1028176241138,279782389.042813,4.8959518843451395,1.85925389773951,11425133794.1483,2.5574499463877753,15715547822.702503,1.3755248540810565,266.0803820416357,74.75563662508388,1900-09-24 01:55:45.008397,1900-03-16 18:08:07.004407
40,2001,16.9212938362328,524978051.661212,8.45957027647465,262455623.347504,4.583154954937159,1.84579626036027,11487146904.6887,2.5515167271042176,15879139817.661112,1.382339309001635,264.7684833935374,79.85765342839436,1900-09-22 18:26:36.965202,1900-03-21 20:35:01.256213
41,2002,16.3969543375462,513567373.515913,8.38484491115422,262620892.2531,4.607567631065922,1.81979855371422,11468643455.2901,2.5441002423541477,16033300070.30207,1.3980120146604267,261.800345919497,79.43453668097955,1900-09-19 19:12:29.887445,1900-03-21 10:25:43.969237
42,2003,16.8615378713173,533293360.659526,9.04444628363444,286055945.235507,5.043058033269516,1.793444815421,11444706679.5757,2.6036183974150924,16614753873.830246,1.4517415729928156,252.1110259311388,72.57501253911107,1900-09-10 02:39:52.640450,1900-03-14 13:48:01.083379
43,2004,16.7231224363659,534293734.500897,9.33836117680313,298355040.229951,5.158961948877777,1.81012406552727,11695881333.2759,2.7119559017944246,17522953217.133343,1.498215483370451,244.29058931650087,70.94450465555683,1900-09-02 06:58:26.916946,1900-03-12 22:40:05.202240
44,2005,16.6684565862231,538191126.255972,9.496508492408,306623266.202869,5.352500211183737,1.77421917192373,11607225697.7925,2.740531250149198,17928992553.210453,1.544640760012601,236.9483166878411,68.37925932917561,1900-08-25 22:45:34.561829,1900-03-10 09:06:08.006041
45,2006,16.3911658958868,535097806.254174,8.79672913579268,287173621.00252,5.007595514873072,1.75667725351728,11635966625.7104,2.7782440101574606,18402666030.193474,1.5815335484049584,231.42102225963356,73.08897032776358,1900-08-20 10:06:16.323232,1900-03-15 02:08:07.036319
46,2007,16.1632384365772,533708491.596876,8.65937311216288,285931620.696037,4.972839033521373,1.74133388468659,11678116390.9399,2.8205553764174556,18915824756.68049,1.6197671229059594,225.95845827840475,73.59980838567935,1900-08-14 23:00:10.795254,1900-03-15 14:23:43.444523
47,2008,16.3424611620915,545911743.889085,8.5512351887101,285649735.861267,4.894541666563485,1.74709620864542,11862381424.5744,2.8214918605768133,19157285022.426422,1.614960782706069,226.63084024232617,74.77717525632444,1900-08-15 15:08:24.596937,1900-03-16 18:39:07.942146
48,2009,15.9533431177284,539060285.742969,7.97505600382683,269475553.58862,4.640226792428696,1.7186780647962,11813746161.1122,2.73754651986189,18817185752.981987,1.5928210034998656,229.78096468446998,78.87545509568412,1900-08-18 18:44:35.348738,1900-03-20 21:00:39.320267
49,2010,15.6533784685268,534855580.648349,8.33567994868914,284819340.950525,4.90104043681321,1.70079803587771,11834441869.3032,2.8412866953587868,19770153003.757954,1.6705608987210048,219.08812356392224,74.67802086488868,1900-08-08 02:06:53.875923,1900-03-16 16:16:21.002726
50,2011,15.4678420475373,534237633.511576,8.39123552344941,289821540.361515,4.958694268090887,1.69222683831243,11918370544.5028,2.8665796890614494,20189345115.987144,1.6939689314466497,216.0606792457984,73.80975317538808,1900-08-05 01:27:22.686837,1900-03-15 19:26:02.674354
51,2012,15.4525215064856,539303805.26912,8.27160050627754,288684641.327253,4.9636068242099185,1.66644957975578,11878752565.4236,2.8222152141437995,20117249578.509907,1.693549716972174,216.11420696342861,73.7367025556578,1900-08-05 02:44:27.481640,1900-03-15 17:40:51.100809
52,2013,15.8790221727066,559822866.209857,8.74813282999445,308419796.987869,5.224799547655572,1.67434803004449,12077792310.3638,2.8518055137330798,20571289465.60831,1.7032334153714166,214.88550793004134,70.05053431460895,1900-08-03 21:15:07.885156,1900-03-12 01:12:46.164782
53,2014,15.2123809675184,541632248.749529,7.76558384325917,276491276.997227,4.661197006320749,1.66600635689261,12159264095.4629,2.824152597113645,20611944994.861874,1.6951631579492759,215.90833179735273,78.520603077641,1900-08-04 21:47:59.867291,1900-03-20 12:29:40.105908
54,2015,15.1634734273717,545122308.825522,7.75796703686199,278896581.524166,4.714809384640617,1.64544659263109,12148348647.8613,2.7772206063138762,20504244731.400806,1.687821785739679,216.84756807004197,77.62774062347339,1900-08-05 20:20:29.881252,1900-03-19 15:03:56.789868
55,2016,15.1223920461158,548788594.689502,7.73993484510322,280880693.588651,4.749152612601467,1.62975071059329,12169283365.9717,2.7466358453739463,20509032351.834747,1.6853104143602848,217.1705439602171,77.06638001668983,1900-08-06 04:05:34.998163,1900-03-19 01:35:35.233442
